gene	region	min	max	q1	median	q3	mean	sd
ALX3	NA	33	81	49	59	72	60.2127	12.2484
SF3B4	NA	45	87	60	66	72	66.4115	8.27588
MYCN	NA	29	98	45	67	75	61.7273	17.677
POLR1A	NA	49	115	68	74	80	74.739	10.8401
POLR2D	NA	54	95	71	81	87	78.4171	11.2438
POLR2H	NA	60	98	69	79	82	76.4399	8.68061
FGFR3	NA	22	85	58	65	70	62.7063	11.6054
EVC2	NA	47	114	67	76	89	77.658	14.2425
EVC	NA	31	129	69	77	84	76.3269	15.7497
POLR2B	NA	64	118	83	88	96	89.9128	10.4342
EDNRA	NA	63	106	77	82	88	83.0824	8.95709
NIPBL	NA	48	120	78	85	91	85.1261	10.9818
PDE4D	NA	66	121	79	87	99	88.8707	12.2066
ZSWIM6	NA	4	106	67	77	86	68.1567	27.6155
POLR3G	NA	61	102	80	90	94	86.6843	10.2089
TCOF1	NA	48	103	66	74	80	73.9395	10.2239
POLR1C	NA	49	112	67	76	86	77.5549	12.9548
TWIST1	NA	30	62	37	45	55	46.8483	9.65445
POLR2J	NA	30	95	47	58	66	57.3289	13.4733
SHH	NA	58	92	65	70	80	71.9802	8.75479
LMBR1	NA	50	116	76	88	96	86.6252	13.0527
FGFR1	NA	52	100	68	72	78	73.1106	8.8731
CHD7	NA	56	112	73	79	85	79.7192	9.93137
POLR2K	NA	76	92	81	83	86	83.2222	3.37306
RAD21	NA	50	105	72	82	94	82.2771	12.5024
POLR1E	NA	62	104	72	76	83	78.5855	9.22813
SMC3	NA	49	114	78	85	93	85.1676	12.2811
FGFR2	NA	51	101	74	80	84	79.5349	8.51825
POLR2L	NA	32	77	37	55	70	53.7538	16.0694
ALX4	NA	63	93	72	74	78	74.8942	5.45133
POLR2G	NA	56	89	64	68	73	69.1102	7.34979
ETS1	NA	54	98	72	77	82	76.8506	8.66088
ALX1	NA	52	89	65	72	79	71.8203	8.82185
POLR1D	NA	63	98	74.25	82	88	81.0551	8.11197
TCF12	NA	52	111	69	84	92	81.8601	13.7721
CREBBP	NA	28	109	60	69	77	68.5936	12.2816
SRCAP	NA	31	89	61	67	72	66.3346	8.94687
POLR2C	NA	47	91	63.5	72	82	71.8897	10.6942
DHODH	NA	50	103	70	74.5	81	76.0485	10.153
POLR2A	NA	42	97	60	66	71	66.21	8.43291
EFTUD2	NA	45	95	65	72	79	71.8293	10.1268
PRKAR1A	NA	70	118	78	82	87	84.9956	10.2899
POLR2E	NA	38	80	54	59	65	59.5971	8.88954
POLR2I	NA	48	69	57	59	64	59.794	4.81989
POLR2F	NA	46	79	53	63	69	61.735	8.79772
EP300	NA	52	111	64	72	79	72.4353	10.1659
SMC1A	NA	42	113	69	77	82	76.5376	10.3427
EFNB1	NA	64	100	71	78	84	78.2691	8.70786
HDAC8	NA	54	101	73	80	86	79.1321	10.3588
